nProt	mean	stdev
3	15.826669999999998	4.750093337093494
4	31.663869999999992	7.672741793068498
5	52.766020000000005	11.027629543995388
6	79.13284000000007	14.679736834643867
7	110.81179000000004	18.623750078754274
8	147.84497999999996	22.861459900881226
9	190.35116999999997	27.29913386228764
10	237.90539999999996	32.09351259740821
11	290.75781000000006	37.11028609434183
12	348.91263000000015	41.98457903186718
13	413.0180600000002	47.359809056164906
14	481.6539599999997	52.77549446777738
15	555.8819699999995	58.326462938524735
16	635.5239199999997	64.19674047670648
17	720.5805399999999	69.89736542465963
18	811.0747199999996	75.96388692610192
19	906.5527400000003	82.481272774445
20	1007.89464	88.08681592196645
21	1114.2811100000004	94.63077019219435
22	1226.3216499999999	101.0076218474502
23	1343.7252599999997	107.4927615141243
24	1465.6181200000026	114.5132500965089
25	1594.5818600000025	121.19656719123851
26	1727.5754999999972	128.06259196092356
27	1866.6384599999994	134.55524147660847
28	2009.7255200000009	141.65302016098923
29	2160.066350000003	148.44433673157587
30	2315.354679999998	155.7249887529218
31	2476.143020000002	162.7432516735473
32	2642.007920000001	169.99890328256123
33	2813.494500000001	177.17959778075476
34	2990.0760400000013	183.80923115534338
35	3171.6173999999983	191.39303690897447
36	3360.884059999997	198.60516825580453
37	3554.040299999997	205.23403274289086
38	3750.5820600000056	213.82476649386606
39	3954.6676599999946	219.99146463016348
40	4166.028479999991	228.92073787424664
41	4379.982990000006	235.73047800541175
42	4600.9006199999985	243.28563624598888
43	4826.568759999986	250.21808074570154
44	5058.328870000009	257.0633249114371
45	5294.930970000013	266.0785063188288
46	5538.441589999989	273.0326924166257
47	5785.936979999986	280.27304962924904
48	6039.707780000008	289.19890585455465
49	6298.96108	294.35716754520115
50	6563.0336599999955	302.63623558160447
51	6833.228999999992	309.8782211111324
52	7110.398289999997	317.03409736978745
53	7390.70658999998	324.9275779932688
54	7677.902460000017	332.4984294488447
55	7970.096660000016	340.1234896575718
56	8268.117839999994	347.1181357027238
57	8571.953779999982	354.60260639723396
58	8877.946840000002	362.4255511053469
59	9193.221819999993	370.4656617500296
60	9514.498319999999	375.8531709287256
61	9841.294669999968	383.7750008267754
62	10171.835799999995	390.2858483706015
63	10510.623429999998	398.8382047711017
64	10852.19718	404.6695765436875
65	11199.060930000001	413.9398581890067
66	11554.640229999994	419.9044637718763
67	0.0	0.0
68	12275.100690000012	433.20134121621066
69	12648.972870000005	440.1957743481446
70	13024.971649999996	447.7672132774769
71	0.0	0.0
72	13792.941590000011	463.1597873933701
73	0.0	0.0
74	0.0	0.0
75	14990.670070000004	482.28448796969997
76	0.0	0.0
77	15815.210979999942	493.1798725692686
78	16236.701960000015	501.2145116735536
79	16666.24619000002	507.3273990634495
80	17097.674530000044	515.4108186284792
81	17534.785149999992	521.3380981757207
82	0.0	0.0
83	18431.12752000001	532.5646918437702
84	18886.400569999976	536.5490629883498
85	19346.36500000004	545.0278300187987
86	0.0	0.0
87	20285.80850000001	555.1848795921502
88	0.0	0.0
89	0.0	0.0
90	0.0	0.0
91	22236.02072000008	581.8055256103034
92	0.0	0.0
93	23245.508200000077	588.010553079415
94	23755.77351999999	592.5151776003801
95	24274.425279999996	599.4643234062578
96	0.0	0.0
97	25329.627389999994	607.9530507134465
98	25867.78127000004	609.7729654938686
99	0.0	0.0
100	0.0	0.0
101	0.0	0.0
102	0.0	0.0
103	28633.034030000006	637.9952265275647
104	0.0	0.0
105	29783.09718000004	647.4386881057142
106	0.0	0.0
107	0.0	0.0
108	0.0	0.0
109	0.0	0.0
110	32754.055470000043	667.3431132431642
111	0.0	0.0
112	33981.66642000001	672.5176108061293
113	0.0	0.0
114	0.0	0.0
115	35872.06002999996	682.818480232045
116	0.0	0.0
117	37163.90590999999	691.7057890151509
118	0.0	0.0
119	38469.62314000008	689.1299514580246
120	0.0	0.0
121	0.0	0.0
122	40489.32021000005	700.238121424102
123	0.0	0.0
124	0.0	0.0
125	42553.06672000002	705.8624063572456
126	0.0	0.0
127	0.0	0.0
128	0.0	0.0
129	0.0	0.0
130	0.0	0.0
131	0.0	0.0
132	47589.20228000003	711.3754332437991
133	0.0	0.0
134	0.0	0.0
135	0.0	0.0
136	0.0	0.0
137	0.0	0.0
138	0.0	0.0
139	0.0	0.0
140	0.0	0.0
141	0.0	0.0
142	0.0	0.0
143	0.0	0.0
144	0.0	0.0
145	0.0	0.0
146	0.0	0.0
147	0.0	0.0
148	0.0	0.0
149	0.0	0.0
150	0.0	0.0
151	0.0	0.0
152	0.0	0.0
153	0.0	0.0
154	0.0	0.0
155	0.0	0.0
156	0.0	0.0
157	0.0	0.0
158	68930.70053999992	655.696702129658
159	0.0	0.0
160	70743.94796000009	642.4409878516772
161	0.0	0.0
162	72592.46031999965	627.2111434002891
163	73524.69478	620.9733087023566
164	0.0	0.0
165	0.0	0.0
166	0.0	0.0
167	77323.70593999994	585.0079152359535
168	0.0	0.0
169	0.0	0.0
170	0.0	0.0
171	0.0	0.0
172	82228.45533000004	526.7183770143121
173	0.0	0.0
174	84233.15241000017	500.7217976693166
175	85251.69054999998	482.1122464848797
176	0.0	0.0
177	0.0	0.0
178	88346.40511000011	428.10022561999153
179	0.0	0.0
180	0.0	0.0
181	91515.99703999977	357.5064969357038
182	0.0	0.0
183	93675.43942999997	295.8989997807951
184	94768.26848000025	258.4292350305778
185	0.0	0.0
186	97000.05561	160.44676674064786
