GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0000003	15	522.0	0.2761652481571519	518.0	0.2536285789839141
GO:0000082	7	79.0	0.0413202115546431	99.0	0.2564132710757499
GO:0000086	12	125.0	3.884954788245537E-8	376.0	0.7376999015163856
GO:0000122	5	38.0	0.08695245604844618	49.0	0.361456131470643
GO:0000139	11	207.0	0.010906065258246424	319.0	0.774618061877178
GO:0000151	7	30.0	5.816449096095182E-6	101.0	0.29241941369295177
GO:0000153	4	7.0	5.964734144435641E-4	35.0	0.6682783218686326
GO:0000165	4	24.0	0.1572496544953231	36.0	0.7143567795174552
GO:0000166	51	6646.0	0.2686777569491502	6813.0	0.4688139245812895
GO:0000175	3	3.0	0.0027645561644255995	17.0	0.5938024080403933
GO:0000176	4	6.0	3.678756898097148E-4	38.0	0.7962049654024463
GO:0000177	4	6.0	3.678756898097148E-4	25.0	0.19083566892832424
GO:0000178	4	6.0	3.678756898097148E-4	37.0	0.7571457407544191
GO:0000184	3	3.0	0.0027645561644255995	14.0	0.3448186521234654
GO:0000209	4	6.0	3.678756898097148E-4	40.0	0.862169673729559
GO:0000226	19	440.0	4.945256180924336E-9	904.0	0.4801408715135167
GO:0000228	8	131.0	0.22424762415226202	164.0	0.7560846240810748
GO:0000278	30	1600.0	1.7775727450675249E-6	2274.0	0.39023866529344337
GO:0000280	6	44.0	0.007936591800078583	78.0	0.4657744142758847
GO:0000287	4	31.0	0.46461254187805967	41.0	0.8889766365702059
GO:0000288	4	6.0	3.678756898097148E-4	29.0	0.3628630955957633
GO:0000291	4	6.0	3.678756898097148E-4	32.0	0.5168213003721176
GO:0000313	3	3.0	0.0027645561644255995	24.0	0.957250018358124
GO:0000314	3	3.0	0.0027645561644255995	18.0	0.6734554176570715
GO:0000323	21	1084.0	0.3670618930380686	1212.0	0.8456787276241292
GO:0000375	6	46.0	0.0114529889450515	57.0	0.0639425921305322
GO:0000377	5	19.0	9.800823918495554E-4	58.0	0.6800575833770865
GO:0000398	5	19.0	9.800823918495554E-4	43.0	0.18330110459811536
GO:0000428	5	19.0	9.800823918495554E-4	49.0	0.361456131470643
GO:0000459	3	3.0	0.0027645561644255995	21.0	0.8611386820779643
GO:0000460	3	3.0	0.0027645561644255995	16.0	0.510033481788937
GO:0000466	3	3.0	0.0027645561644255995	8.0	0.04692563119074478
GO:0000467	3	3.0	0.0027645561644255995	12.0	0.2049491548637462
GO:0000469	3	3.0	0.0027645561644255995	20.0	0.8088205323061611
GO:0000502	3	20.0	0.8088205323061611	23.0	0.9343022670638608
GO:0000723	5	19.0	9.800823918495554E-4	60.0	0.7423546329682812
GO:0000775	4	44.0	0.9467394451314279	34.0	0.6195005239237004
GO:0000785	9	210.0	0.7620338195923182	241.0	0.9680436505637751
GO:0000793	4	35.0	0.6682783218686326	34.0	0.6195005239237004
GO:0000902	9	109.0	0.0013450313578067742	208.0	0.7386914035066557
GO:0000904	8	91.0	0.005908720587060495	177.0	0.8971791308116857
GO:0000922	8	100.0	0.016934237733518456	117.0	0.08475278918069722
GO:0000930	3	3.0	0.0027645561644255995	9.0	0.07185340703421195
GO:0000956	8	46.0	3.443880862342036E-6	129.0	0.1988022509018132
GO:0001101	6	53.0	0.036236720747869405	76.0	0.4118785835180482
GO:0001501	7	85.0	0.0790884391895402	123.0	0.739857503182198
GO:0001503	3	10.0	0.10579091461789708	17.0	0.5938024080403933
GO:0001505	3	25.0	0.9731892080128133	20.0	0.8088205323061611
GO:0001525	3	12.0	0.2049491548637462	14.0	0.3448186521234654
GO:0001558	5	47.0	0.2955193161882657	40.0	0.11959772592320542
GO:0001568	4	23.0	0.12780398353791242	22.0	0.10242685396246473
GO:0001654	5	38.0	0.08695245604844618	45.0	0.23573361726507117
GO:0001655	3	12.0	0.2049491548637462	20.0	0.8088205323061611
