nProt	mean	stdev
3	15.134559999999997	4.893366285738275
4	30.33562	7.883442091853024
5	50.812629999999984	11.267030774924686
6	76.53128000000002	14.896984982257315
7	107.41086000000003	18.82096953029785
8	143.6796499999999	22.853199466978364
9	185.40141999999994	27.22548478877099
10	232.23533000000003	31.635115137945988
11	284.72911999999997	36.22347200401418
12	342.5453500000001	40.94589824851203
13	406.06146999999993	45.68878562009608
14	474.6128199999997	50.53295451136412
15	548.6255799999992	55.60761251540656
16	628.1879999999994	60.49563666910201
17	713.2652300000003	65.73349042190826
18	804.4464099999998	70.965501112244
19	900.3851500000004	76.35065231861155
20	1001.8156299999997	82.15967720057755
21	1109.6634399999991	87.5922153354189
22	1222.1411100000007	93.22125840154648
23	1340.5435699999994	99.16499564692722
24	1464.8858700000008	104.51637079588582
25	1594.0663000000002	110.38722328381117
26	1729.21767	116.23158413172858
27	1871.0210500000012	122.32140134456237
28	2018.0861899999993	128.5524521791938
29	2170.51296	134.2120346766205
30	2328.47425	140.9520934109795
31	2492.525520000002	146.86471812089385
32	2662.0179500000004	153.60009839774676
33	2837.392060000002	160.2921944105714
34	3017.335120000003	165.85083549559113
35	3204.032480000008	172.6549044338145
36	3395.636229999997	180.03744138758228
37	3593.928449999999	186.23393447650062
38	3798.5784199999935	192.16781590657592
39	4005.695340000004	198.41694283070797
40	4218.6657899999955	205.775356137891
41	4440.601140000021	212.03623056143127
42	4665.017939999996	220.6033727261585
43	4896.084049999998	226.97638869626394
44	5131.204699999993	233.68455922013743
45	5374.093189999998	241.0083201170116
46	5623.251130000008	247.91921693108665
47	5872.3541599999935	255.06237023656487
48	6131.800000000008	263.089520125755
49	6393.390079999998	269.1808364976848
50	6662.447990000003	277.16831134702255
51	6936.208350000006	283.28145350565654
52	7215.658000000005	292.07000173930896
53	7499.19443999999	299.72418122848626
54	7789.1787200000035	306.9169686725735
55	8085.35638	315.87302232589565
56	8386.64622000002	322.72976413667163
57	8692.034979999999	330.8692011904398
58	9004.507560000004	337.62142251765744
59	9323.45467000002	344.7109001543049
60	9643.724360000004	350.86660009552105
61	9971.930270000023	360.16458380541417
62	10306.460600000008	365.76071580698743
63	10645.18952999999	373.5504832126167
64	10993.040059999961	381.351654506961
65	11342.030459999996	387.1554549689157
66	11697.22284999999	392.63937493312767
67	12059.675849999978	400.4817727397559
68	12428.956179999981	406.0991332418813
69	12801.650240000008	412.72012530035687
70	13183.726890000014	417.9797773109704
71	13568.663819999996	425.9626107805793
72	13956.995249999987	430.25703465189025
73	14357.592009999997	438.5660998232311
74	14760.741799999994	443.3671611122768
75	15169.360329999947	449.7606563410051
76	15584.37909000002	454.0627432423544
77	16006.221079999974	460.9633129476075
78	16432.756799999996	466.7374955515782
79	16866.27868999998	471.47404221429235
80	17307.61414999998	477.0637848021766
81	17751.668689999995	483.02393160555005
82	18199.956729999994	486.9750504673791
83	18661.918980000006	492.86842483137417
84	19125.01683000009	498.95544613397203
85	19593.727060000034	503.4869122070168
86	20066.18054000001	510.98254786764375
87	20553.240179999964	514.8006971183776
88	21037.555320000003	520.1467905117719
89	21529.402519999956	524.2078356507559
90	22031.793870000045	531.2830731544377
91	22538.21738	533.1214990093115
92	23048.220610000004	540.5827925685643
93	23565.835850000014	545.327153133583
94	24087.455459999954	550.2349982291095
95	24617.27536000001	555.6938720526531
96	25151.583579999853	560.9048540834553
97	25696.28650000005	565.8333583819085
98	26238.531819999997	571.9290864674456
99	26793.983719999917	573.0720179654232
100	27352.569089999954	579.5591345036082
101	27913.569909999966	586.585608511317
102	28486.733719999942	589.4810805911953
103	29064.888239999993	591.6449905050346
104	29642.734250000023	597.470636974686
105	30231.84222999992	600.6278919918946
106	30826.515500000016	605.2631849036825
107	31424.387620000012	611.0915398127648
108	32031.782250000022	614.4989498403855
109	32645.840709999975	617.9542406656775
110	33262.31324999998	624.4069755251276
111	33878.67586999996	627.6052972288753
112	34517.44602	630.8529967957344
113	35147.74311999997	636.6196630427497
114	35792.353730000046	636.6994627491748
115	36438.777880000045	643.4751801761319
116	37092.362879999935	647.2147849501781
