nProt	mean	stdev
3	15.471890000000002	4.729394234772568
4	31.002040000000004	7.570489801749949
5	51.815950000000015	10.74071951023301
6	78.05345	14.229121304476253
7	109.40405000000001	17.956939984237287
8	146.05451000000002	21.954787146768243
9	188.28523000000004	26.00347580319023
10	235.78139999999993	30.420293128765213
11	288.65558000000004	34.97737804443896
12	347.1554000000002	39.566502888680965
13	411.1618	44.27222900148579
14	480.32209999999986	49.394689103080715
15	555.2853600000001	54.37191342660659
16	635.3474600000003	59.63811240765756
17	720.9869000000001	64.9742197212864
18	813.0040800000004	70.1915006489646
19	910.1563299999992	76.04385478742579
20	1013.0556500000001	81.447935965729
21	1120.757169999999	86.77512871549719
22	1235.2800199999988	92.37573484849578
23	1354.0938300000005	98.21941806960118
24	1480.274940000001	104.46635873809515
25	1610.75773	109.94723523239271
26	1747.7601999999995	116.37467437531244
27	1890.2631999999996	122.24342135984242
28	2038.1948199999997	127.78456035518376
29	2191.6343800000022	134.37357047431465
30	2350.8187500000017	140.86654584548276
31	2516.445280000001	146.93310336925987
32	2687.92163	152.94515987157976
33	2864.296430000003	159.78029934649356
34	3046.668780000003	165.30371391263907
35	3235.6747299999947	172.16190626682518
36	3430.1466699999983	178.1623752028219
37	3630.497150000002	184.98887791399122
38	3835.5804200000007	190.87657036059625
39	4046.670890000006	197.08247222066166
40	4264.009490000007	202.9741244591042
41	4486.099840000007	209.725916119049
42	4715.002909999992	216.14875757573043
43	4950.753460000001	224.09324737266942
44	5191.020099999984	229.53472446666987
45	5436.942079999997	235.27204594952133
46	5689.778759999995	241.8554166705024
47	5949.202459999987	248.2852758218829
48	6211.562370000004	254.59823579511115
49	6481.461429999982	263.28655482640016
50	6756.59026000001	267.3729483570324
51	7038.334870000014	274.0720023134126
52	7326.190999999992	281.2490096320341
53	7619.278070000002	287.2523585404915
54	7918.19215999998	293.735204860661
55	8223.17313000002	301.7549867293049
56	8532.213910000002	305.85685820741645
57	8848.31127000001	312.6710202129182
58	9170.791720000014	319.45870734641386
59	9498.854420000005	325.66486041091946
60	9832.063169999985	332.1299141594308
61	10170.96094000001	338.3714559390557
62	10516.858150000002	346.2288626740661
63	10871.360940000006	351.5053392230571
64	11221.892599999977	357.87185684996246
65	11588.21641000001	362.07983541853304
66	11959.446019999981	371.9340784415427
67	12329.814949999996	376.4182379302278
68	12710.10591	382.6350557817096
69	13096.147810000011	388.7329704851444
70	13487.447149999987	396.26091524004414
71	13883.256190000002	401.82655419556863
72	14289.306070000019	409.36590658133105
73	14699.046630000003	414.14235296048037
74	15112.509420000022	419.85786496296953
75	15534.561799999987	426.2277436779073
76	15961.33903000002	431.0611536066074
77	16393.67877000001	437.98794885394625
78	16829.023660000028	443.99953628377153
79	17273.58573000003	449.8576620780923
80	17724.459620000045	455.59611083662213
81	18180.115650000014	461.3276083599137
82	18640.365429999965	469.6668689517231
83	19107.34459999997	474.5252010914075
84	19578.156630000027	481.71662460106444
85	20056.04817000002	487.8896073187571
86	20540.625320000032	493.51996463658696
87	21031.068300000028	497.8282679349471
88	21525.38277999999	504.4537829766676
89	22028.939979999963	512.7595051460279
90	22532.949200000057	517.8858657651891
91	23049.853960000055	522.7399203545866
92	23562.37226	529.6935344541143
93	24089.70595999994	538.660045836405
94	24620.862939999926	540.2184796862803
95	25155.82991	546.2612209917448
96	25695.563300000016	553.6418865775146
97	26244.62468000003	559.1194184205176
98	26795.93248	565.3978629434763
99	27353.991300000005	571.0394288000691
100	27915.31248999992	573.6284799763687
101	28486.313060000066	582.7721059328738
102	29060.38060000004	589.2505651449468
103	29644.19706000001	596.1195377668446
104	30229.896749999953	599.6425796000792
105	30820.152220000065	603.4668435706068
106	31421.542100000042	614.540305860885
107	32027.289670000053	617.4624151001349
108	32634.47404999998	624.8714523536803
109	33242.69947999998	629.7434005590926
110	33866.15861000005	634.6179642216789
111	34495.64504000006	640.2466224693409
112	35128.90674999996	645.0102942546253
113	35768.70928999993	648.1411718273237
114	36411.25686999997	655.7431209001002
115	37059.22518000003	660.533794392057
116	37712.520510000126	666.7561694647749
117	38373.900610000084	670.6557090576565
118	39036.29307999993	674.3428043540716
119	39712.89962999994	680.3906167605949
120	40388.276410000064	686.5128571319774
121	41068.54565000004	692.1385091411083
122	41760.349770000066	695.0555700452653
123	42448.020159999985	702.3062551718967
124	43152.61493999996	703.2055523165308
125	43856.42492000009	706.55139281088
126	44564.04815000003	710.5835612027466
127	45276.4919000001	715.4624977693721
128	45997.14606999997	720.5061192616987
129	46723.32804000005	725.1377961530892
130	47454.351490000125	726.0216166373975
131	48189.26405999999	728.2857233890529
132	48932.993020000016	733.171815055161
133	49679.52273999998	734.0209868545256
134	50433.34126000007	735.3869157944088
135	51187.72532000006	742.1150318723481
136	51955.93657999996	739.9976773462909
137	52721.26674000015	744.4519299657788
138	53491.87808000012	745.2652786461438
139	54267.18476999997	747.1847496235765
140	55050.69008999993	745.7754360166285
141	55843.787890000065	747.1381022805275
142	56632.17447999992	748.4380203709117
143	57433.875710000095	751.2323357404122
144	58237.95395999993	747.0319801857994
145	59046.938089999945	749.44950672954
146	59861.024130000056	747.38409218269
147	60675.73414000014	747.5893118674588
148	61501.16883999974	745.7793459147643
149	62332.95259000007	743.5145598051804
150	63164.15772999988	739.0869028410976
151	64001.30249000019	738.3102848869173
152	64848.40515999998	740.3561440451308
153	65697.9993	736.5703002018947
154	66549.51095999999	735.157874609174
155	67411.52000999989	728.6488287643094
156	68272.99614999988	724.9239519943986
157	69141.54473000005	721.9230877172631
158	70024.48206	715.9505466288549
159	70898.5633599999	711.2111832961507
160	71783.11188000005	709.9184539951506
161	72677.09835000017	703.7958337026992
162	73570.96572000014	698.5990292470213
163	74470.81046	692.9395869876302
164	75379.35842000034	687.9107745595385
165	76288.32124999992	678.9430776496934
166	77210.67608999988	675.6284479152067
167	78137.83105999994	671.4320092304787
168	79065.05792999992	664.4947030293895
169	79996.99193	658.8194685836743
170	80939.60599999997	653.206564483242
171	81885.62200999998	643.770736360049
172	82838.34367999989	638.8698426315467
173	83793.88253000024	630.6959821267285
174	84763.35202000005	621.671434844741
175	85730.56038999994	612.1642736006806
176	86706.62218000018	600.5806148653555
177	87691.01319000007	593.4172263559797
178	88676.10547999994	580.3984190657039
179	89673.32454999996	568.8575900322485
180	90673.78049000008	553.7294733219103
181	91681.28046000013	535.0876410478829
182	92695.61335000012	521.0555801368774
183	93716.87329000006	500.2486524265465
184	94748.49095000011	480.42654930602833
185	95790.69083000002	460.60929776103217
186	96838.48289999989	436.5249302704147
187	97903.01594000011	412.6168458823708
188	98975.50898000004	384.0392505973309
189	100056.59978999993	353.1986726503315
190	101147.50505000023	317.6377210825211
191	102236.33127999998	281.8655596087639
192	103336.30675999995	241.783973534853
193	104455.15382	182.21560673939982
194	105602.9005	82.53723947255564
