Placeholder	Uniprot Accession	Uniprot Accession	Placeholder	Placeholder	Placeholder	Placeholder	Official Symbol	Official Symbol	Placeholder	Placeholder	Placeholder	Placeholder	Placeholder	Placeholder	Organism	Organism
	Q96B26	Q9NQT5					EXOSC8	EXOSC3							9606	9606
	P49643	P49642					PRIM2	PRIM1							9606	9606
	Q96B26	Q13868					EXOSC8	EXOSC2							9606	9606
	P62873	P63218					GNB1	GNG5							9606	9606
	Q9Y5J7	P62072					TIMM9	TIMM10							9606	9606
	P49642	Q14181					PRIM1	POLA2							9606	9606
	Q13868	Q9NQT4					EXOSC2	EXOSC5							9606	9606
	Q9NQT5	Q9NQT4					EXOSC3	EXOSC5							9606	9606
	P09884	Q14181					POLA1	POLA2							9606	9606
	P49643	P09884					PRIM2	POLA1							9606	9606
	Q13868	Q9NQT5					EXOSC2	EXOSC3							9606	9606
	P09884	P49642					POLA1	PRIM1							9606	9606
	Q9Y399	P82675					MRPS2	MRPS5							9606	9606
	Q10713	O75439					PMPCA	PMPCB							9606	9606
	P49643	Q14181					PRIM2	POLA2							9606	9606
	Q96B26	Q9NQT4					EXOSC8	EXOSC5							9606	9606
	Q15369	Q15370					TCEB1	TCEB2							9606	9606
	P37198	Q7Z3B4					NUP62	NUP54							9606	9606
	P37198	Q99567					NUP62	NUP88							9606	9606
	Q9BSJ2	Q96CW5					TUBGCP2	TUBGCP3							9606	9606
	P61011	P09132					SRP54	SRP19							9606	9606
	Q15369	Q13617					TCEB1	CUL2							9606	9606
	O94973	Q96CW1					AP2A2	AP2M1							9606	9606
	Q13617	Q15370					CUL2	TCEB2							9606	9606
	Q99567	P35658					NUP88	NUP214							9606	9606
	Q9Y3U8	P61011					RPL36	SRP54							9606	9606
	P37198	P35658					NUP62	NUP214							9606	9606
	P82675	P82663					MRPS5	MRPS25							9606	9606
	Q9Y3U8	P09132					RPL36	SRP19							9606	9606
	P78406	Q7Z3B4					RAE1	NUP54							9606	9606
	P09132	O76094					SRP19	SRP72							9606	9606
	Q9BVL2	Q7Z3B4					NUPL1	NUP54							9606	9606
	Q6Y7W6	O60573					GIGYF2	EIF4E2							9606	9606
	P37198	Q9BVL2					NUP62	NUPL1							9606	9606
	Q9BQ95	Q9Y375					ECSIT	NDUFAF1							9606	9606
	Q9H270	Q96JC1					VPS11	VPS39							9606	9606
	Q9H845	Q9Y375					ACAD9	NDUFAF1							9606	9606
