uniprotAC	name	
Q9Y312	AAR2
Q9UDR5	AASS
Q9NY61	AATF
P33527	ABCC1
Q9H845	ACAD9
P11310	ACADM
O95573	ACSL3
Q13443	ADAM9
Q9UHI8	ADAMTS1
Q96D53	ADCK4
Q08117	AES
O00116	AGPS
O43823	AKAP8
Q9ULX6	AKAP8L
Q99996	AKAP9
Q2TAA5	ALG11
Q9Y673	ALG5
Q9BVK2	ALG8
Q4KMQ2	ANO6
O94973	AP2A2
Q96CW1	AP2M1
O00203	AP3B1
P62330	ARF6
Q8N6S5	ARL6IP6
O95260	ATE1
Q9H7F0	ATP13A3
P05026	ATP1B1
O75964	ATP5L
Q15904	ATP6AP1
P38606	ATP6V1A
Q9UL15	BAG5
O14874	BCKDK
Q9Y276	BCS1L
P25440	BRD2
O60885	BRD4
Q9Y6E2	BZW2
Q9BSF4	C19orf52
Q9BV19	C1orf50
Q9H6F5	CCDC86
Q96SN8	CDK5RAP2
P49454	CENPF
Q8N8E3	CEP112
Q66GS9	CEP135
Q9BV73	CEP250
Q5VT06	CEP350
Q76N32	CEP68
O43633	CHMP2A
Q8IZ52	CHPF
Q9P2E5	CHPF2
P0C7P0	CISD3
O14578	CIT
Q96S66	CLCC1
Q8N3C7	CLIP4
Q7Z7A1	CNTRL
P12109	COL6A1
Q8NBJ5	COLGALT1
P21964	COMT
Q6UUV7	CRTC3
O75534	CSDE1
P19784	CSNK2A2
P67870	CSNK2B
Q13617	CUL2
Q6UX04	CWC27
O43169	CYB5B
P00387	CYB5R3
P61962	DCAF7
Q8WVC6	DCAKD
Q9H773	DCTPP1
Q13206	DDX10
Q9NR30	DDX21
Q9NVH1	DNAJC11
Q96DA6	DNAJC19
P26358	DNMT1
Q9H2P9	DPH5
Q2PZI1	DPY19L1
Q9BQ95	ECSIT
Q9BZQ6	EDEM3
O60573	EIF4E2
Q15056	EIF4H
Q8N766	EMC1
Q8IUD2	ERC1
Q969X5	ERGIC1
Q96DZ1	ERLEC1
Q7Z2K6	ERMP1
Q86YB8	ERO1LB
Q9BS26	ERP44
P13804	ETFA
Q13868	EXOSC2
Q9NQT5	EXOSC3
Q9NQT4	EXOSC5
Q96B26	EXOSC8
P55085	F2RL1
Q86VR2	FAM134C
Q96A26	FAM162A
Q9UBU6	FAM8A1
Q8NCA5	FAM98A
Q96K12	FAR2
Q7L8L6	FASTKD5
Q9UBX5	FBLN5
P35555	FBN1
P35556	FBN2
Q9NXK8	FBXL12
O95684	FGFR1OP
Q96AY3	FKBP10
Q5T1M5	FKBP15
Q9Y680	FKBP7
Q8IWF2	FOXRED2
Q9BQS8	FYCO1
Q13283	G3BP1
Q9UN86	G3BP2
Q96CN9	GCC1
Q8IWJ2	GCC2
Q99988	GDF15
P55789	GFER
P38435	GGCX
Q92820	GGH
Q9H3K2	GHITM
Q6Y7W6	GIGYF2
P06280	GLA
P62873	GNB1
P63218	GNG5
Q08379	GOLGA2
Q08378	GOLGA3
Q7Z5G4	GOLGA7
Q14789	GOLGB1
Q9BQQ3	GORASP1
O43292	GPAA1
P07203	GPX1
Q4V328	GRIPAP1
Q9HAV7	GRPEL1
P13984	GTF2F2
Q92769	HDAC2
Q7Z4Q2	HEATR3
Q9ULT8	HECTD1
P09601	HMOX1
Q9UJC3	HOOK1
Q7LGA3	HS2ST1
Q96MM7	HS6ST2
O75506	HSBP1
Q9Y4L1	HYOU1
P14735	IDE
Q96F46	IL17RA
P12268	IMPDH2
P58166	INHBE
Q96HW7	INTS4
P05556	ITGB1
Q96N16	JAKMIP1
Q6UW63	KDELC1
Q7Z4H8	KDELC2
Q2M389	KIAA1033
Q6PKG0	LARP1
Q92615	LARP4B
Q4G0J3	LARP7
Q12907	LMAN2
P28300	LOX
Q3KQU3	MAP7D1
Q5VT66	MARC1
Q9P0L2	MARK1
Q7KZI7	MARK2
P27448	MARK3
Q9NZL9	MAT2B
Q9NU22	MDN1
Q7L2J0	MEPCE
Q08431	MFGE8
Q86YT6	MIB1
Q8TD10	MIPOL1
Q13724	MOGS
Q9HCE1	MOV10
O00566	MPHOSPH10
Q9Y399	MRPS2
P82663	MRPS25
Q92552	MRPS27
P82675	MRPS5
Q9NZJ7	MTCH1
O75592	MYCBP2
Q96I59	NARS2
Q8WUY8	NAT14
Q9NV92	NDFIP2
Q9Y375	NDUFAF1
Q8N183	NDUFAF2
Q9Y6M9	NDUFB9
Q8TD19	NEK9
Q99519	NEU1
