ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
GO:0005815	332	26	19	17	320	19	2	false	7.15124316883836E-20	1.0061799138555573E-16	8.414073723448743E-39	"microtubule organizing center"
GO:0005929	332	21	19	13	302	19	3	false	2.195693331503857E-13	1.5446702587129634E-10	8.6549745707315E-33	"cilium"
GO:0007017	332	33	19	15	301	19	1	false	3.8911247683005765E-13	1.8249375163329706E-10	8.645939061045854E-45	"microtubule-based process"
GO:0022406	332	14	19	11	301	19	1	false	6.656828087612897E-13	2.3415392798178363E-10	2.3647424817441255E-24	"membrane docking"
GO:0006903	332	15	19	11	303	19	3	false	2.2605328009564355E-12	6.36113930189141E-10	1.1163953752905808E-25	"vesicle targeting"
GO:0099118	332	12	19	11	91	12	2	false	3.0079023270323043E-12	7.053530956890753E-10	3.169549343553539E-15	"microtubule-based protein transport"
GO:0098840	332	12	19	11	69	11	3	false	6.579631267588674E-12	1.3225058847853237E-9	1.1344191840670262E-13	"protein transport along microtubule"
GO:0005814	332	26	19	17	111	19	2	false	9.688123145821176E-12	1.7038986582712993E-9	6.444382372807381E-26	"centriole"
GO:0030990	332	21	19	13	143	15	1	false	1.9836394938699877E-11	3.1010897420834138E-9	1.3089693473413409E-25	"intraciliary transport particle"
GO:0044782	332	12	19	11	151	18	2	false	2.2696328096791903E-11	3.1933733632186207E-9	5.3388603233551054E-18	"cilium organization"
GO:0099111	332	16	19	11	140	13	2	false	4.6734713659740286E-11	5.977794738114052E-9	2.3408600501616183E-21	"microtubule-based transport"
GO:0022402	332	48	19	15	301	19	2	false	3.3062541521210035E-10	3.8765829933618766E-8	6.971406831042325E-57	"cell cycle process"
GO:0007049	332	50	19	15	301	19	1	false	6.608291867148625E-10	7.15220512082932E-8	2.678955194185734E-58	"cell cycle"
GO:0051649	332	25	19	12	157	14	3	false	1.307814561984796E-9	1.31435363479472E-7	1.4787747114668915E-29	"establishment of localization in cell"
GO:0061512	332	12	19	11	54	12	1	false	1.472273638033569E-9	1.3809926724754878E-7	2.915393342640733E-12	"protein localization to cilium"
GO:0043228	332	111	19	19	301	19	1	false	2.044812775489876E-9	1.7981572344464097E-7	1.8525115236992402E-85	"non-membrane-bounded organelle"
GO:0043232	332	111	19	19	296	19	2	false	2.8393749278665483E-9	2.3500003079460198E-7	1.885231836043961E-84	"intracellular non-membrane-bounded organelle"
GO:0035082	332	12	19	11	74	15	3	false	3.690747007254641E-9	2.733095283793305E-7	4.5570403843123484E-14	"axoneme assembly"
GO:1905349	332	12	19	11	74	15	2	false	3.690747007254641E-9	2.733095283793305E-7	4.5570403843123484E-14	"ciliary transition zone assembly"
GO:0030705	332	17	19	11	87	12	1	false	4.919234252886446E-9	3.460681296905615E-7	2.021403200848011E-18	"cytoskeleton-dependent intracellular transport"
GO:0051656	332	29	19	12	145	13	2	false	5.2673788331669425E-9	3.5291438182218514E-7	3.727800080737503E-31	"establishment of organelle localization"
GO:0042995	332	50	19	14	320	19	1	false	5.988418568136738E-9	3.8298658751674497E-7	9.575248749828281E-60	"cell projection"
GO:0007010	332	40	19	16	147	18	1	false	6.74943767485276E-9	4.1288951341381887E-7	5.79382810826476E-37	"cytoskeleton organization"
GO:0070925	332	29	19	13	166	18	2	false	4.812352068106206E-8	2.821241399927263E-6	4.9227328813240415E-33	"organelle assembly"
GO:0006928	332	41	19	12	301	19	1	false	2.1675571248149628E-7	1.219901149845861E-5	1.3908502346574098E-51	"movement of cell or subcellular component"
GO:0030031	332	20	19	12	84	15	2	false	3.6508526798372255E-7	1.9756729694349908E-5	9.31445699745257E-20	"cell projection assembly"
GO:0005623	332	52	19	12	323	19	1	false	1.949240813752063E-6	1.0157710462774639E-4	2.0612442124599763E-61	"cell"
GO:0140056	332	13	19	11	35	12	2	false	2.0720190189535007E-6	1.0411895570241342E-4	6.77351755133536E-10	"organelle localization by membrane tethering"
GO:0030030	332	35	19	12	186	18	1	false	2.8215027988660812E-6	1.3689153234498538E-4	1.1625938829445723E-38	"cell projection organization"
GO:0042073	332	12	19	11	34	13	4	false	3.0108285515685577E-6	1.3891212893155064E-4	1.8236393407441448E-9	"intraciliary transport"
GO:0031503	332	25	19	11	108	14	1	false	3.060608384419381E-6	1.3891212893155064E-4	4.6201056109383495E-25	"protein-containing complex localization"
GO:0051640	332	35	19	12	107	13	1	false	3.3982703995659718E-6	1.494177016309163E-4	5.158860958025367E-29	"organelle localization"
GO:0051726	332	30	19	11	188	18	2	false	4.322419829007167E-6	1.842922636185783E-4	1.8235798293749035E-35	"regulation of cell cycle"
GO:0005856	332	55	19	18	111	19	1	false	7.1656491968412644E-6	2.8868275760644645E-4	5.120458204656901E-33	"cytoskeleton"
GO:0048285	332	43	19	14	147	18	1	false	7.181163124538469E-6	2.8868275760644645E-4	3.602369583802117E-38	"organelle fission"
GO:0048193	332	27	19	11	68	11	1	false	8.504501969514703E-6	3.3238428530853295E-4	1.4687700593172575E-19	"Golgi vesicle transport"
GO:0035869	332	4	19	4	320	19	2	false	9.039990342415587E-6	3.344171586663218E-4	2.3322988499521935E-9	"ciliary transition zone"
GO:0097546	332	4	19	4	320	19	4	false	9.039990342415587E-6	3.344171586663218E-4	2.3322988499521935E-9	"ciliary base"
GO:0060271	332	12	19	11	35	14	8	false	9.269558769002522E-6	3.344171586663218E-4	1.1983915667747266E-9	"cilium assembly"
GO:0098590	332	57	19	13	234	18	2	false	1.0394895704498223E-5	3.65640456405725E-4	6.262029158356547E-56	"plasma membrane region"
GO:0051018	332	7	19	5	257	19	1	false	2.4718547003699497E-5	8.482681862001267E-4	7.390754343919458E-14	"protein kinase A binding"
GO:0022607	332	74	19	15	196	18	2	false	4.644383817443377E-5	0.0015558685788435312	6.4300649144691875E-56	"cellular component assembly"
GO:0030552	332	3	19	3	71	4	3	false	6.998512816026643E-5	0.0022899784958487182	1.7496282040066543E-5	"cAMP binding"
GO:0030551	332	3	19	3	64	4	1	false	9.600614439324091E-5	0.00307001466275659	2.400153609831014E-5	"cyclic nucleotide binding"
GO:0048199	332	15	19	11	27	11	2	false	1.04694814615396E-4	0.0032734578703080483	5.75246234150529E-8	"vesicle targeting, to, from or within Golgi"
GO:0007018	332	16	19	11	54	16	2	false	1.105306244597857E-4	0.0033807954046721407	4.7404769799038143E-14	"microtubule-based movement"
GO:0099080	332	41	19	9	320	19	1	false	1.4031536179666849E-4	0.004200504554210905	9.469478588462338E-53	"supramolecular complex"
GO:0120031	332	20	19	12	35	12	2	false	1.509613856666119E-4	0.004425055617352561	3.078871614243359E-10	"plasma membrane bounded cell projection assembly"
GO:0005952	332	3	19	3	310	19	2	false	1.9706256787369616E-4	0.005658510877516133	2.033669431101135E-7	"cAMP-dependent protein kinase complex"
GO:0044839	332	17	19	11	30	11	1	false	2.2655338997167954E-4	0.006375212393803062	8.35004385860533E-9	"cell cycle G2/M phase transition"
GO:0015630	332	38	19	18	55	18	1	false	2.3305156033687362E-4	0.0064294812822349254	1.465238339242963E-14	"microtubule cytoskeleton"
GO:0001578	332	12	19	11	30	15	1	false	2.419842710223829E-4	0.00654753594862486	1.1561599188838122E-8	"microtubule bundle formation"
GO:0051338	332	16	19	5	101	6	2	false	2.9927882331677683E-4	0.007945005743522736	6.253130080874732E-19	"regulation of transferase activity"
GO:0031399	332	31	19	7	118	8	2	false	3.235196023611518E-4	0.008429482972632234	3.6997870739997797E-29	"regulation of protein modification process"
GO:0005829	332	126	19	15	320	19	2	false	3.619264305208148E-4	0.009258736140777936	1.490023087055551E-92	"cytosol"
GO:0048471	332	20	19	6	320	19	2	false	4.4276401990076653E-4	0.011124446000006758	3.518769237177865E-32	"perinuclear region of cytoplasm"
GO:0044085	332	87	19	15	196	18	1	false	4.934054036614205E-4	0.012179322858800329	5.9906150047478836E-58	"cellular component biogenesis"
GO:0043086	332	13	19	4	180	7	3	false	5.217747575122213E-4	0.012657535927925782	4.660644512795425E-20	"negative regulation of catalytic activity"
GO:0050790	332	43	19	6	192	7	2	false	5.505175292333766E-4	0.013031397610447514	6.482229349189333E-44	"regulation of catalytic activity"
GO:0099177	332	8	19	4	63	5	3	false	5.557099194220688E-4	0.013031397610447514	2.5820479982961065E-10	"regulation of trans-synaptic signaling"
GO:0009719	332	37	19	7	159	9	1	false	5.686805510129491E-4	0.013111973645585152	4.612534880563942E-37	"response to endogenous stimulus"
GO:0099536	332	12	19	5	46	5	2	false	5.777841976021886E-4	0.013111973645585152	2.569992614526152E-11	"synaptic signaling"
GO:0051174	332	35	19	7	147	9	2	false	6.468400177667052E-4	0.014446093730123082	1.1812372302671896E-34	"regulation of phosphorus metabolic process"
GO:0019932	332	8	19	4	59	5	1	false	7.242749560261581E-4	0.015922732236387568	4.509641028294528E-10	"second-messenger-mediated signaling"
GO:0046907	332	87	19	12	313	19	3	false	9.553565999989438E-4	0.02044184128656295	9.117939046064518E-80	"intracellular transport"
GO:0030054	332	41	19	8	320	19	1	false	9.681284259643784E-4	0.02044184128656295	9.469478588462338E-53	"cell junction"
GO:0016043	332	186	19	18	302	19	2	false	9.734210136458548E-4	0.02044184128656295	9.351822633513702E-87	"cellular component organization"
GO:0071840	332	196	19	18	317	19	1	false	0.0010563206681588778	0.021681111473018044	6.307892396524805E-91	"cellular component organization or biogenesis"
GO:0097539	332	6	19	4	143	15	2	false	0.0010753860178548075	0.021681111473018044	9.364122352503415E-11	"ciliary transition fiber"
GO:0019899	332	62	19	11	257	19	1	false	0.0010786622623392063	0.021681111473018044	3.699868506446755E-61	"enzyme binding"
GO:0006468	332	33	19	7	105	8	2	false	0.001152976544916511	0.022848422516866633	4.916958066043935E-28	"protein phosphorylation"
GO:0010563	332	9	19	4	95	7	3	false	0.001209278514041225	0.023620064464141888	8.510693785893619E-13	"negative regulation of phosphorus metabolic process"
GO:0004690	332	3	19	3	18	3	2	false	0.0012254901960784348	0.023620064464141888	0.0012254901960784348	"cyclic nucleotide-dependent protein kinase activity"
GO:0000086	332	15	19	10	29	11	2	false	0.0012546358399747458	0.02385503549789821	1.2893450075787727E-8	"G2/M transition of mitotic cell cycle"
GO:1901699	332	20	19	6	73	7	2	false	0.0013083756197412387	0.02454512662634564	2.326645075738399E-18	"cellular response to nitrogen compound"
GO:0051648	332	19	19	11	35	12	1	false	0.00150961385666612	0.027247449995857806	2.4630972913946895E-10	"vesicle localization"
GO:0000930	332	3	19	3	149	18	2	false	0.0015103447509967137	0.027247449995857806	1.8509126850449778E-6	"gamma-tubulin complex"
GO:0031400	332	9	19	4	106	8	3	false	0.0015105196159750595	0.027247449995857806	3.0451906573246044E-13	"negative regulation of protein modification process"
GO:1901701	332	29	19	7	68	7	2	false	0.001609974536494684	0.028673850289215447	7.27220297661988E-20	"cellular response to oxygen-containing compound"
GO:0005930	332	5	19	3	320	19	4	false	0.001658022912248541	0.029160477969171213	3.690346281570457E-11	"axoneme"
GO:0032991	332	143	19	15	323	19	1	false	0.0017195681256425386	0.029869535219494467	1.0960354658490998E-95	"protein-containing complex"
GO:0006793	332	63	19	7	233	9	1	false	0.0018092248518841952	0.031043650812208085	1.4851844070197817E-58	"phosphorus metabolic process"
GO:1902495	332	5	19	2	104	2	3	false	0.00186706497386101	0.031650125520752304	1.0873995188474074E-8	"transmembrane transporter complex"
GO:0004857	332	3	19	3	24	4	2	false	0.0019762845849802158	0.032833486024442124	4.940711462450556E-4	"enzyme inhibitor activity"
GO:0051348	332	5	19	3	84	6	3	false	0.001983543931824862	0.032833486024442124	3.239179456242833E-8	"negative regulation of transferase activity"
GO:0008092	332	29	19	7	257	19	1	false	0.0021963078064613827	0.035932617252222854	5.907857191344258E-39	"cytoskeletal protein binding"
GO:0005881	332	5	19	3	276	19	2	false	0.002555299349967376	0.041325358452920666	7.770650143752525E-11	"cytoplasmic microtubule"
GO:1901700	332	37	19	7	82	7	1	false	0.0027080827360313653	0.04329855010904694	3.46355541526847E-24	"response to oxygen-containing compound"
GO:0046785	332	6	19	4	20	4	3	false	0.003095975232198162	0.04894423765958218	2.5799793601651193E-5	"microtubule polymerization"
GO:0001932	332	23	19	7	48	7	3	false	0.0033296222991917685	0.05123794636771486	3.2302141793331265E-14	"regulation of protein phosphorylation"
GO:0034451	332	2	19	2	320	19	2	false	0.003350313479623146	0.05123794636771486	1.9592476489024725E-5	"centriolar satellite"
GO:0045171	332	2	19	2	320	19	2	false	0.003350313479623146	0.05123794636771486	1.9592476489024725E-5	"intercellular bridge"
GO:1901987	332	19	19	10	35	11	2	false	0.0037237141797764406	0.056336191945650024	2.4630972913946895E-10	"regulation of cell cycle phase transition"
GO:0071417	332	20	19	6	61	7	4	false	0.0038202879413561305	0.05718239503710719	1.6034257630742549E-16	"cellular response to organonitrogen compound"
GO:0009975	332	3	19	2	176	7	1	false	0.004012539184953416	0.05942781719188902	1.1195700850874183E-6	"cyclase activity"
GO:0071705	332	94	19	13	140	13	1	false	0.00419762082361996	0.06152138019618005	4.444629003458063E-38	"nitrogen compound transport"
GO:0098794	332	13	19	4	320	19	2	false	0.004556010356804609	0.06608563476313489	2.1607064978405298E-23	"postsynapse"
GO:0051128	332	57	19	10	237	19	2	false	0.004732014874435843	0.06793821355440031	2.7323253576789965E-56	"regulation of cellular component organization"
GO:0099568	332	6	19	3	276	19	1	false	0.0048860462531043845	0.06944108159715019	1.7204391462182793E-12	"cytoplasmic region"
GO:0032409	332	7	19	3	92	6	2	false	0.005025734166781488	0.07071207972661554	1.1414803104403344E-10	"regulation of transporter activity"
GO:0019904	332	25	19	6	257	19	1	false	0.0052686820507301824	0.07211611522315794	2.9255001888459096E-35	"protein domain specific binding"
GO:0030104	332	4	19	3	27	4	1	false	0.0052991452991453004	0.07211611522315794	5.6980056980056985E-5	"water homeostasis"
