GO-term	Name	Category	NumberOfProteinsInNetwork	TPD	P-value	FDR	ProteinAccessions	ProteinNames
GO:0000003	reproduction	biological_process	15	522	0.276165248	0.498417722	P19784|Q08379|P05556|Q08431|P17612|P25440|Q15056|O75534|O76061|Q14157|Q96CW5|Q9BSJ2|P37198|Q9UH99|Q96DA6|	CSNK2A2|GOLGA2|ITGB1|MFGE8|PRKACA|BRD2|EIF4H|CSDE1|STC2|UBAP2L|TUBGCP3|TUBGCP2|NUP62|SUN2|DNAJC19|
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	7	79	0.041320212	0.26221336	P05556|P09884|P49642|P49643|Q13617|O60885|Q14181|	ITGB1|POLA1|PRIM1|PRIM2|CUL2|BRD4|POLA2|
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	12	125	3.88E-08	0.009118541	O95613|P17612|P31323|Q66GS9|Q99996|Q7Z7A1|O14578|O95684|Q9BV73|Q9Y2I6|Q9NXK8|Q96SN8|	PCNT|PRKACA|PRKAR2B|CEP135|AKAP9|CNTRL|CIT|FGFR1OP|CEP250|NINL|FBXL12|CDK5RAP2|
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	4	38	0.086952456	0.26221336	Q08117|P26358|Q92769|O76024|	AES|DNMT1|HDAC2|WFS1|
GO:0000139	Golgi membrane	cellular_component	11	207	0.010906065	0.109433962	Q08379|Q14789|P61006|P62820|P61019|P61026|Q12907|Q7Z5G4|P61106|Q9BQQ3|Q9H7Z7|	GOLGA2|GOLGB1|RAB8A|RAB1A|RAB2A|RAB10|LMAN2|GOLGA7|RAB14|GORASP1|PTGES2|
GO:0000151	ubiquitin ligase complex	cellular_component	6	30	5.82E-06	0.009118541	Q13617|P62877|P61962|Q13438|Q9NXK8|Q9C0D3|	CUL2|RBX1|DCAF7|OS9|FBXL12|ZYG11B|
GO:0000153	cytoplasmic ubiquitin ligase complex	cellular_component	3	7	5.96E-04	0.009118541	Q13617|P62877|Q13438|	CUL2|RBX1|OS9|
GO:0000165	MAPK cascade	biological_process	4	24	0.157249654	0.376930064	P27448|Q13546|P62877|Q99996|	MARK3|RIPK1|RBX1|AKAP9|
GO:0000166	nucleotide binding	molecular_function	51	6646	0.268677757	0.481898632	P11310|P62330|P61586|P05026|P38606|Q15904|Q9Y276|P19784|P00387|P26358|Q7KZI7|P13804|O95573|P55789|P13984|P14735|Q9P0L2|P27448|P61006|Q9HCE1|P09884|P16435|P17612|P13861|P31323|P62820|P61019|P51148|P11233|Q92900|P61011|P51149|O00116|Q13546|Q13283|Q9Y4L1|P61026|O14975|O14578|Q9NP72|Q9NU22|Q9H845|Q9UHD2|Q8N4C6|P61106|Q9H270|Q9H173|Q9H773|Q8IWF2|Q9HAV7|Q8TD19|	ACADM|ARF6|RHOA|ATP1B1|ATP6V1A|ATP6AP1|BCS1L|CSNK2A2|CYB5R3|DNMT1|MARK2|ETFA|ACSL3|GFER|GTF2F2|IDE|MARK1|MARK3|RAB8A|MOV10|POLA1|POR|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RAB2A|RAB5C|RALA|UPF1|SRP54|RAB7A|AGPS|RIPK1|G3BP1|HYOU1|RAB10|SLC27A2|CIT|RAB18|MDN1|ACAD9|TBK1|NIN|RAB14|VPS11|SIL1|DCTPP1|FOXRED2|GRPEL1|NEK9|
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	3	3	0.002764556	0.034602076	Q13868|Q9NQT5|Q9NQT4|	EXOSC2|EXOSC3|EXOSC5|
GO:0000176	nuclear exosome (RNase complex)	cellular_component	4	6	3.68E-04	0.009118541	Q96B26|Q13868|Q9NQT5|Q9NQT4|	EXOSC8|EXOSC2|EXOSC3|EXOSC5|
GO:0000177	cytoplasmic exosome (RNase complex)	cellular_component	4	6	3.68E-04	0.009118541	Q96B26|Q13868|Q9NQT5|Q9NQT4|	EXOSC8|EXOSC2|EXOSC3|EXOSC5|
GO:0000178	exosome (RNase complex)	cellular_component	4	6	3.68E-04	0.009118541	Q96B26|Q13868|Q9NQT5|Q9NQT4|	EXOSC8|EXOSC2|EXOSC3|EXOSC5|
GO:0000184	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	biological_process	3	3	0.002764556	0.034602076	Q92900|Q9Y3U8|P11940|	UPF1|RPL36|PABPC1|
GO:0000209	protein polyubiquitination	biological_process	4	6	3.68E-04	0.009118541	P62877|Q9H4P4|Q9ULT8|Q9NXK8|	RBX1|RNF41|HECTD1|FBXL12|
GO:0000226	microtubule cytoskeleton organization	biological_process	19	440	4.95E-09	0.009118541	P61586|Q7KZI7|Q08379|Q9P0L2|P27448|O95613|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|O95684|Q9BV73|Q9Y2I6|Q76N32|P37198|Q9UH99|Q8N4C6|Q96SN8|	RHOA|MARK2|GOLGA2|MARK1|MARK3|PCNT|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|FGFR1OP|CEP250|NINL|CEP68|NUP62|SUN2|NIN|CDK5RAP2|
GO:0000228	nuclear chromosome	cellular_component	8	131	0.224247624	0.446932007	Q92769|P09884|P49642|P49643|Q92900|O60885|Q14181|Q9UH99|	HDAC2|POLA1|PRIM1|PRIM2|UPF1|BRD4|POLA2|SUN2|
